EXTRACTION REPORT
==================================================
Total pages extracted : 775
Total chapters found  : 106

Ch.   Title                                              Pages           Words
------------------------------------------------------------------------------------------
0     Preface                                            1               10
1     තථාගතාභිගමනය                                       2               124
24    ද් වභාතික යුද්ධය                                   3               163
54    තුන්වන ස්න, හතරවන මිහි දු හා පස්වන ස්න             4               135
81    විජයබාහු රජු ග් පාලනය සහ ශාසන සංග්‍රහය             5–30            6433
1     තථාගතාභිගමනය                                       31–38           2127
2     මහා සම්මත රාජ වංශය                                 39–41           863
3     ප්‍රථම ධර්ම සංගායනාව                               42–46           1317
4     දවැනි ධර්ම සංගායනාව                                47–53           1906
5     ධර්මා ශා්ක රජු සහ තෘතීය ධර්ම සංගායනාව              54–78           7098
6     විජයාගමනය                                          79–82           1101
7     විජය කුමරැ ග් පැමිණීම සහ රාජාභි ්කය                83–89           1923
8     පණ්ඩුවාස ද්ව රජු ග් අභි ්කය                        90–92           776
9     අභයාභි ්කය                                         93–96           964
10    පණ්ඩුකාභය අභි ්කය                                  97–104          2402
11    ද්වානම්පියතිස්ස රජු ග් අභි ්කය                     105–108         961
37    තාම්‍රලිප්ති යහි දී නැවේ නැගී, දඹ කාළ පටුනට බැස, ද 109             223
12    නානා ද්ශයන්හි බුදු සසුන් පිහිටුවීම                 110–114         1301
13    මහින්දාගමනය                                        115–116         519
14    නගර ප්‍ර වේශය                                      117–123         1684
15    මහා විහාරය පිළිගැනීම                               124–144         5729
16    ච්තිය පර්වත විහාර පූජාව                            145             246
12    ච්ති ගිරි විහාර පූජාව සහ සීමා බෙන්ධන               146             249
17    දවි මිනිස් සමූහයා තමන් වත පැමිණියා වූ ඒ ගණ ප්‍රධාන 147–153         1938
18    මහා බා්ධිය වැඩම කරවීම                              154–159         1631
19    ජය ශ්‍රී මහා බා්ධීන් වහන් ස් ග් වැඩම කරවීම         160–166         1904
20    තර තරණි පිරිනිවන් පෑම                              167–171         1340
21    පස් රජුන් සහ එළාර රජු ග් ධර්මි ්ඨ බව               172–175         1089
22    ගාමිණී කුමාර ප්‍රසූතිය                             176–182         2083
23    යා්ධයන් ලැබීම                                      183–191         2662
24    ද් වභාතික යුද්ධය                                   192–198         1957
25    දුටුගැමුණු රජු ග් විජයග්‍රහණය                      199–207         2883
26    මිරිසවැටි විහාර පූජාව                              208–210         788
27    ලා්වාමහාපාය කිරීම                                  211–215         1333
28    මහා සෑයට අවශ්‍ය ද්‍රව්‍ය ලැබීම                     216–219         986
29    මහා ථූප කර්මාන්තය අාරම්භ කිරීම                     220–225         1646
30    ධාතු ගර්භ වර්ණනාව                                  226–234         2650
31    ධාතු නිධාන                                         235–244         2990
